session_id,user_id,session_start,session_end,duration_minutes,geo_velocity_flag,geo_velocity_detail,failed_login_count,max_failed_attempts_last_10min,device_change_flag,time_since_last_known_device_ip_minutes,transaction_amount_zscore,max_transaction_amount,total_transaction_amount,new_beneficiary_flag,transaction_velocity,weak_crypto_flag,crypto_deprecated_signal_count,login_event_count,successful_login_count,unique_geo_count,unique_device_count,session_is_attack_scenario,session_attack_types,anomaly_score,risk_score,is_model_anomaly
U1075_S00064,U1075,2026-01-18T07:01:00,2026-01-18T07:16:00,15.0,1,Mumbai -> Berlin in 12 min,0,0,0,0.0,5.2941,200000.0,200000.0,1,1,0,0,2,2,2,1,True,impossible_travel,0.7668082925750941,100.0,True
U1088_S00008,U1088,2026-01-03T05:32:00,2026-01-03T05:47:00,15.0,1,Mumbai -> Berlin in 12 min,0,0,0,0.0,5.0157,200000.0,200000.0,1,1,0,0,2,2,2,1,True,impossible_travel,0.7663637254992338,100.0,True
U1110_S00085,U1110,2026-01-22T01:51:00,2026-01-22T02:07:00,16.0,0,,0,0,0,9584.0,3.6111,175000.0,179463.74,1,2,1,1,1,1,1,1,True,weak_crypto_large_transfer,0.7636329981448543,100.0,True
U1038_S00001,U1038,2026-01-01T11:45:00,2026-01-01T12:00:00,15.0,1,Mumbai -> Berlin in 12 min,0,0,0,0.0,4.125,200000.0,200000.0,1,1,0,0,2,2,2,1,True,impossible_travel,0.7636711134068581,100.0,True
U1032_S00069,U1032,2026-01-17T22:51:00,2026-01-17T23:22:00,31.0,1,Mumbai -> Bengaluru in 27 min,0,0,1,2667.0,2.9391,60000.0,240000.0,1,4,0,0,3,3,2,3,True,device_change_transaction_velocity,0.7903663338496856,100.0,True
U1097_S00032,U1097,2026-01-09T08:25:00,2026-01-09T08:36:00,11.0,0,,5,5,0,0.0,5.1986,150000.0,150000.0,1,1,0,0,6,1,1,1,True,credential_stuffing_new_beneficiary,0.7689351129679286,100.0,True
U1052_S00046,U1052,2026-01-12T07:42:00,2026-01-12T07:53:00,11.0,0,,5,5,0,0.0,5.2884,150000.0,150000.0,1,1,0,0,6,1,1,1,True,credential_stuffing_new_beneficiary,0.7689351129679286,100.0,True
U1081_S00083,U1081,2026-01-20T22:30:00,2026-01-20T22:41:00,11.0,0,,5,5,0,0.0,3.8199,150000.0,150000.0,1,1,0,0,6,1,1,1,True,credential_stuffing_new_beneficiary,0.7647843487060323,100.0,True
U1011_S00077,U1011,2026-01-18T20:46:00,2026-01-18T20:57:00,11.0,0,,5,5,0,0.0,4.5437,150000.0,157405.86,1,2,0,0,6,1,1,1,True,credential_stuffing_new_beneficiary,0.774560423017851,100.0,True
U1102_S00083,U1102,2026-01-22T00:13:00,2026-01-22T00:28:00,15.0,1,Mumbai -> Berlin in 12 min,0,0,0,3010.0,3.8214,200000.0,200000.0,1,1,0,0,2,2,2,1,True,impossible_travel,0.7636110310958003,100.0,True
U1025_S00019,U1025,2026-01-04T23:24:00,2026-01-04T23:39:00,15.0,1,Mumbai -> Berlin in 12 min,0,0,0,0.0,4.3968,200000.0,200000.0,1,1,0,0,2,2,2,1,True,impossible_travel,0.7636711134068581,100.0,True
U1012_S00075,U1012,2026-01-19T21:51:00,2026-01-19T22:06:00,15.0,1,Mumbai -> Berlin in 12 min,0,0,0,12598.0,3.9641,200000.0,200000.0,1,1,0,0,2,2,2,1,True,impossible_travel,0.779260040344192,100.0,True
