session_id,user_id,session_start,session_end,duration_minutes,geo_velocity_flag,geo_velocity_detail,failed_login_count,max_failed_attempts_last_10min,device_change_flag,time_since_last_known_device_ip_minutes,transaction_amount_zscore,max_transaction_amount,total_transaction_amount,new_beneficiary_flag,transaction_velocity,weak_crypto_flag,crypto_deprecated_signal_count,login_event_count,successful_login_count,unique_geo_count,unique_device_count,session_is_attack_scenario,session_attack_types
U1069_S00001,U1069,2026-01-01T08:01:00,2026-01-01T08:01:00,1.0,0,,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,1,1,False,normal
U1095_S00001,U1095,2026-01-01T08:04:00,2026-01-01T08:04:00,1.0,0,,0,0,0,0.0,-0.006,4069.68,4069.68,0,1,0,0,0,0,0,0,False,normal
U1071_S00001,U1071,2026-01-01T08:06:00,2026-01-01T08:06:00,1.0,0,,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,1,1,False,normal
U1113_S00001,U1113,2026-01-01T08:08:00,2026-01-01T08:08:00,1.0,0,,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,1,1,False,normal
U1067_S00001,U1067,2026-01-01T08:09:00,2026-01-01T08:09:00,1.0,0,,0,0,0,0.0,0.0099,2447.35,2447.35,0,1,0,0,0,0,0,0,False,normal
U1081_S00001,U1081,2026-01-01T08:11:00,2026-01-01T08:11:00,1.0,0,,0,0,0,0.0,0.0112,3810.02,3810.02,0,1,0,0,0,0,0,0,False,normal
U1000_S00001,U1000,2026-01-01T08:13:00,2026-01-01T08:13:00,1.0,0,,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,1,1,False,normal
U1054_S00001,U1054,2026-01-01T08:15:00,2026-01-01T08:15:00,1.0,0,,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,1,1,False,normal
U1001_S00001,U1001,2026-01-01T08:16:00,2026-01-01T08:16:00,1.0,0,,0,0,0,0.0,-0.3467,2781.05,2781.05,0,1,0,0,0,0,0,0,False,normal
U1042_S00001,U1042,2026-01-01T08:16:00,2026-01-01T08:16:00,1.0,0,,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,1,1,False,normal
U1014_S00001,U1014,2026-01-01T08:21:00,2026-01-01T08:21:00,1.0,0,,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,1,1,False,normal
U1099_S00001,U1099,2026-01-01T08:30:00,2026-01-01T08:30:00,1.0,0,,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,1,False,normal
U1028_S00001,U1028,2026-01-01T08:40:00,2026-01-01T08:40:00,1.0,0,,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,1,1,False,normal
U1090_S00001,U1090,2026-01-01T08:40:00,2026-01-01T08:40:00,1.0,0,,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,1,1,False,normal
U1037_S00001,U1037,2026-01-01T08:50:00,2026-01-01T08:50:00,1.0,0,,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,1,1,False,normal
U1051_S00001,U1051,2026-01-01T08:53:00,2026-01-01T09:12:00,19.0,0,,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,2,2,1,2,False,normal
U1118_S00001,U1118,2026-01-01T08:56:00,2026-01-01T08:56:00,1.0,0,,0,0,0,0.0,0.0074,3975.08,3975.08,0,1,0,0,0,0,0,0,False,normal
U1085_S00001,U1085,2026-01-01T09:00:00,2026-01-01T09:08:00,8.0,0,,1,1,1,0.0,0.0,0.0,0.0,0,0,0,0,2,1,1,2,False,normal
U1010_S00001,U1010,2026-01-01T09:08:00,2026-01-01T09:08:00,1.0,0,,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,1,1,False,normal
U1033_S00001,U1033,2026-01-01T09:15:00,2026-01-01T09:15:00,1.0,0,,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,1,1,False,normal
U1039_S00001,U1039,2026-01-01T09:15:00,2026-01-01T09:15:00,1.0,0,,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,1,1,False,normal
U1049_S00001,U1049,2026-01-01T09:19:00,2026-01-01T09:19:00,1.0,0,,0,0,0,0.0,-0.0023,1460.48,1460.48,0,1,0,0,0,0,0,0,False,normal
U1072_S00001,U1072,2026-01-01T09:19:00,2026-01-01T09:19:00,1.0,0,,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,1,1,False,normal
U1064_S00001,U1064,2026-01-01T09:22:00,2026-01-01T09:22:00,1.0,0,,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,1,1,False,normal
U1027_S00001,U1027,2026-01-01T09:23:00,2026-01-01T09:23:00,1.0,0,,0,0,0,0.0,0.0297,3902.32,3902.32,0,1,0,0,0,0,0,0,False,normal
U1044_S00001,U1044,2026-01-01T09:24:00,2026-01-01T09:24:00,1.0,0,,0,0,0,0.0,-0.4999,4402.59,4402.59,0,1,0,0,0,0,0,0,False,normal
U1023_S00001,U1023,2026-01-01T09:28:00,2026-01-01T09:28:00,1.0,0,,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,1,1,False,normal
U1066_S00001,U1066,2026-01-01T09:28:00,2026-01-01T09:45:00,17.0,0,,0,0,1,0.0,2.9475,60000.0,240000.0,1,4,0,0,2,2,1,2,True,device_change_transaction_velocity
U1021_S00001,U1021,2026-01-01T09:32:00,2026-01-01T09:32:00,1.0,0,,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,1,False,normal
U1036_S00001,U1036,2026-01-01T09:35:00,2026-01-01T09:35:00,1.0,0,,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,1,1,False,normal
U1075_S00001,U1075,2026-01-01T09:37:00,2026-01-01T09:37:00,1.0,0,,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,1,1,False,normal
U1025_S00001,U1025,2026-01-01T09:38:00,2026-01-01T09:38:00,1.0,0,,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,1,1,False,normal
U1047_S00001,U1047,2026-01-01T09:45:00,2026-01-01T09:54:00,9.0,0,,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,2,2,1,2,False,normal
U1059_S00001,U1059,2026-01-01T09:45:00,2026-01-01T09:45:00,1.0,0,,0,0,0,0.0,-0.0026,2409.03,2409.03,0,1,0,0,0,0,0,0,False,normal
U1077_S00001,U1077,2026-01-01T09:54:00,2026-01-01T09:54:00,1.0,0,,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,1,1,False,normal
U1088_S00001,U1088,2026-01-01T09:55:00,2026-01-01T09:55:00,1.0,0,,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,1,1,False,normal
U1053_S00001,U1053,2026-01-01T09:57:00,2026-01-01T10:00:00,3.0,0,,0,0,0,0.0,-0.0199,2117.05,2117.05,0,1,0,0,1,1,1,1,False,normal
U1072_S00002,U1072,2026-01-01T09:59:00,2026-01-01T09:59:00,1.0,0,,0,0,0,0.0,0.9642,8543.78,8543.78,0,1,0,0,0,0,0,0,False,normal
U1032_S00001,U1032,2026-01-01T10:01:00,2026-01-01T10:01:00,1.0,0,,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,1,1,False,normal
