event_id,user_id,timestamp,ip_address,geo_location,device_fingerprint,login_status,auth_method,tls_version,cipher_suite,cert_key_length,cert_signature_alg,failed_attempts_last_10min,is_attack_scenario,attack_type
evt_0004339,U1069,2026-01-01 08:01:00,152.58.160.58,Pune,dev_U1069_3_4111,success,mfa,TLS 1.3,TLS_CHACHA20_POLY1305_SHA256,3072,SHA-256,0,False,normal
evt_0004463,U1071,2026-01-01 08:06:00,49.36.162.80,Mumbai,dev_U1071_1_6138,success,mfa,TLS 1.2,TLS_AES_256_GCM_SHA384,2048,SHA-256,0,False,normal
evt_0007067,U1113,2026-01-01 08:08:00,115.97.139.251,Chennai,dev_U1113_3_7311,success,biometric,TLS 1.2,TLS_AES_128_GCM_SHA256,2048,SHA-256,0,False,normal
evt_0000001,U1000,2026-01-01 08:13:00,152.58.124.38,Pune,dev_U1000_3_5506,success,password,TLS 1.2,TLS_AES_128_GCM_SHA256,4096,SHA-384,0,False,normal
evt_0003403,U1054,2026-01-01 08:15:00,122.16.115.6,Hyderabad,dev_U1054_2_8744,success,mfa,TLS 1.2,TLS_CHACHA20_POLY1305_SHA256,2048,SHA-256,0,False,normal
evt_0002647,U1042,2026-01-01 08:16:00,152.58.85.89,Pune,dev_U1042_1_8962,success,passkey,TLS 1.3,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,4096,SHA-384,0,False,normal
evt_0000883,U1014,2026-01-01 08:21:00,103.48.133.236,Delhi,dev_U1014_2_5741,success,biometric,TLS 1.2,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,3072,SHA-384,0,False,normal
evt_0006199,U1099,2026-01-01 08:30:00,157.39.61.101,Kolkata,dev_U1099_1_7658,fail,passkey,TLS 1.2,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2048,SHA-256,1,False,normal
evt_0001765,U1028,2026-01-01 08:40:00,103.48.232.30,Delhi,dev_U1028_3_2489,success,mfa,TLS 1.2,TLS_AES_256_GCM_SHA384,3072,SHA-384,0,False,normal
evt_0005641,U1090,2026-01-01 08:40:00,106.51.26.191,Bengaluru,dev_U1090_3_7939,success,biometric,TLS 1.2,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2048,SHA-384,0,False,normal
evt_0002332,U1037,2026-01-01 08:50:00,122.16.182.119,Hyderabad,dev_U1037_2_3504,success,passkey,TLS 1.2,TLS_AES_128_GCM_SHA256,2048,SHA-384,0,False,normal
evt_0003214,U1051,2026-01-01 08:53:00,152.58.133.42,Pune,dev_U1051_1_1964,success,password,TLS 1.3,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,4096,SHA-384,0,False,normal
evt_0005331,U1085,2026-01-01 09:00:00,152.58.43.167,Pune,dev_U1085_1_5956,fail,passkey,TLS 1.3,TLS_AES_256_GCM_SHA384,2048,SHA-384,1,False,normal
evt_0000631,U1010,2026-01-01 09:08:00,157.39.67.196,Kolkata,dev_U1010_1_6635,success,passkey,TLS 1.2,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,3072,SHA-384,0,False,normal
evt_0005332,U1085,2026-01-01 09:08:00,152.58.243.47,Pune,dev_U1085_2_9666,success,password,TLS 1.3,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,3072,SHA-256,0,False,normal
evt_0003215,U1051,2026-01-01 09:12:00,152.58.243.58,Pune,dev_U1051_2_4750,success,mfa,TLS 1.2,TLS_CHACHA20_POLY1305_SHA256,2048,SHA-384,0,False,normal
evt_0002080,U1033,2026-01-01 09:15:00,157.39.70.44,Kolkata,dev_U1033_2_6573,success,password,TLS 1.3,TLS_CHACHA20_POLY1305_SHA256,4096,SHA-256,0,False,normal
evt_0002458,U1039,2026-01-01 09:15:00,49.36.46.35,Mumbai,dev_U1039_3_1319,success,biometric,TLS 1.2,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,3072,SHA-256,0,False,normal
evt_0004525,U1072,2026-01-01 09:19:00,122.16.204.134,Hyderabad,dev_U1072_3_9701,success,mfa,TLS 1.2,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,4096,SHA-256,0,False,normal
evt_0004029,U1064,2026-01-01 09:22:00,157.39.108.184,Kolkata,dev_U1064_3_4872,success,passkey,TLS 1.2,TLS_CHACHA20_POLY1305_SHA256,3072,SHA-384,0,False,normal
evt_0001450,U1023,2026-01-01 09:28:00,49.36.167.36,Mumbai,dev_U1023_3_4483,success,mfa,TLS 1.3,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,4096,SHA-256,0,False,normal
evt_0001324,U1021,2026-01-01 09:32:00,157.39.221.119,Kolkata,dev_U1021_1_1916,fail,password,TLS 1.2,TLS_CHACHA20_POLY1305_SHA256,3072,SHA-256,1,False,normal
evt_0002269,U1036,2026-01-01 09:35:00,122.16.245.254,Hyderabad,dev_U1036_1_2743,success,passkey,TLS 1.2,TLS_AES_256_GCM_SHA384,2048,SHA-256,0,False,normal
evt_0004711,U1075,2026-01-01 09:37:00,152.58.83.82,Pune,dev_U1075_2_7615,success,passkey,TLS 1.3,TLS_AES_128_GCM_SHA256,4096,SHA-384,0,False,normal
evt_0001576,U1025,2026-01-01 09:38:00,152.58.177.195,Pune,dev_U1025_1_5339,success,biometric,TLS 1.2,TLS_CHACHA20_POLY1305_SHA256,4096,SHA-256,0,False,normal
evt_0002962,U1047,2026-01-01 09:45:00,152.58.51.27,Pune,dev_U1047_3_9479,success,biometric,TLS 1.3,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2048,SHA-384,0,False,normal
evt_0002963,U1047,2026-01-01 09:54:00,152.58.251.116,Pune,dev_U1047_1_7118,success,biometric,TLS 1.3,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,3072,SHA-384,0,False,normal
evt_0004835,U1077,2026-01-01 09:54:00,115.97.230.124,Chennai,dev_U1077_2_6183,success,biometric,TLS 1.2,TLS_CHACHA20_POLY1305_SHA256,3072,SHA-256,0,False,normal
evt_0005517,U1088,2026-01-01 09:55:00,106.51.251.14,Bengaluru,dev_U1088_1_5616,success,password,TLS 1.2,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2048,SHA-384,0,False,normal
evt_0003340,U1053,2026-01-01 09:57:00,103.48.86.125,Delhi,dev_U1053_2_8953,success,passkey,TLS 1.2,TLS_AES_256_GCM_SHA384,2048,SHA-256,0,False,normal
evt_0002017,U1032,2026-01-01 10:01:00,106.51.72.107,Bengaluru,dev_U1032_1_1188,success,passkey,TLS 1.2,TLS_AES_256_GCM_SHA384,2048,SHA-256,0,False,normal
evt_0002836,U1045,2026-01-01 10:04:00,157.39.105.203,Kolkata,dev_U1045_3_9835,success,biometric,TLS 1.3,TLS_AES_256_GCM_SHA384,2048,SHA-256,0,False,normal
evt_0000253,U1004,2026-01-01 10:05:00,101.100.120.122,Singapore,dev_U1004_2_1434,fail,password,TLS 1.2,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,4096,SHA-384,1,False,normal
evt_0006881,U1110,2026-01-01 10:05:00,115.97.203.2,Chennai,dev_U1110_3_5279,success,mfa,TLS 1.2,TLS_CHACHA20_POLY1305_SHA256,4096,SHA-384,0,False,normal
evt_0003277,U1052,2026-01-01 10:10:00,49.36.85.246,Mumbai,dev_U1052_1_6413,success,passkey,TLS 1.2,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,3072,SHA-256,0,False,normal
evt_0001828,U1029,2026-01-01 10:17:00,157.39.79.195,Kolkata,dev_U1029_2_2796,success,password,TLS 1.3,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2048,SHA-256,0,False,normal
evt_0000190,U1003,2026-01-01 10:25:00,49.36.250.74,Mumbai,dev_U1003_1_1488,success,mfa,TLS 1.2,TLS_AES_128_GCM_SHA256,3072,SHA-256,0,False,normal
evt_0005207,U1083,2026-01-01 10:26:00,106.51.35.107,Bengaluru,dev_U1083_2_5002,success,biometric,TLS 1.2,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2048,SHA-256,0,False,normal
evt_0003404,U1054,2026-01-01 10:27:00,122.16.95.106,Hyderabad,dev_U1054_1_3167,fail,mfa,TLS 1.1,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,3072,SHA-384,1,False,normal
evt_0007068,U1113,2026-01-01 10:28:00,115.97.57.198,Chennai,dev_U1113_3_7311,success,mfa,TLS 1.2,TLS_AES_256_GCM_SHA384,4096,SHA-256,0,False,normal
evt_0001766,U1028,2026-01-01 10:33:00,103.48.205.67,Delhi,dev_U1028_3_2489,success,password,TLS 1.3,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,4096,SHA-256,0,False,normal
