txn_id,user_id,timestamp,amount,channel,beneficiary_id,beneficiary_is_new,merchant_category,user_avg_txn_amount,is_attack_scenario,attack_type
txn_0002551,U1095,2026-01-01 08:04:00,4069.68,web,B_U1095_5,False,dining,4619.02,False,normal
txn_0001810,U1067,2026-01-01 08:09:00,2447.35,web,B_U1067_9,False,fuel,2136.18,False,normal
txn_0002187,U1081,2026-01-01 08:11:00,3810.02,web,B_U1081_13,False,travel,4023.78,False,normal
txn_0000028,U1001,2026-01-01 08:16:00,2781.05,mobile,B_U1001_10,False,electronics,2959.57,False,normal
txn_0003149,U1118,2026-01-01 08:56:00,3975.08,mobile,B_U1118_6,False,fuel,3428.82,False,normal
txn_0001324,U1049,2026-01-01 09:19:00,1460.48,web,B_U1049_10,False,dining,1500.95,False,normal
txn_0000730,U1027,2026-01-01 09:23:00,3902.32,mobile,B_U1027_4,False,dining,2802.86,False,normal
txn_0001189,U1044,2026-01-01 09:24:00,4402.59,web,B_U1044_3,False,peer_transfer,6443.21,False,normal
txn_0001594,U1059,2026-01-01 09:45:00,2409.03,web,B_U1059_16,False,dining,2320.66,False,normal
txn_0001945,U1072,2026-01-01 09:59:00,8543.78,mobile,B_U1072_4,False,electronics,5461.96,False,normal
txn_0001432,U1053,2026-01-01 10:00:00,2117.05,atm,B_U1053_6,False,fuel,3360.77,False,normal
txn_0000514,U1019,2026-01-01 10:02:00,3003.46,web,B_U1019_9,False,dining,4323.75,False,normal
txn_0002317,U1086,2026-01-01 10:13:00,4874.64,web,B_U1086_7,False,groceries,4347.82,False,normal
txn_0000325,U1012,2026-01-01 10:21:00,1380.43,mobile,B_U1012_17,False,electronics,2152.49,False,normal
txn_0000001,U1000,2026-01-01 10:23:00,966.01,web,B_U1000_5,False,dining,3431.57,False,normal
txn_0001864,U1069,2026-01-01 10:36:00,4244.01,mobile,B_U1069_12,False,travel,5981.69,False,normal
txn_0001972,U1073,2026-01-01 10:52:00,3557.78,mobile,B_U1073_12,False,utilities,3306.92,False,normal
txn_0002603,U1097,2026-01-01 10:54:00,711.57,mobile,B_U1097_18,False,fuel,1723.17,False,normal
txn_0000271,U1010,2026-01-01 11:14:00,5550.73,web,B_U1010_15,False,travel,4545.51,False,normal
txn_0002552,U1095,2026-01-01 11:22:00,2223.5,web,B_U1095_4,False,travel,4619.02,False,normal
txn_0003123,U1117,2026-01-01 11:27:00,2856.88,web,B_U1117_2,False,groceries,3396.23,False,normal
txn_0000217,U1008,2026-01-01 11:45:00,3252.02,mobile,B_U1008_59550,True,utilities,3573.17,False,normal
txn_0001756,U1065,2026-01-01 12:08:00,4295.22,mobile,B_U1065_9,False,peer_transfer,2907.56,False,normal
txn_0001270,U1047,2026-01-01 12:11:00,6363.32,mobile,B_U1047_7,False,electronics,2870.56,False,normal
txn_0001999,U1074,2026-01-01 12:11:00,1848.17,web,B_U1074_2,False,fuel,2873.53,False,normal
txn_0000595,U1022,2026-01-01 12:15:00,14351.32,web,B_U1022_4,False,investment,4140.87,False,normal
txn_0001081,U1040,2026-01-01 12:23:00,3027.05,web,B_U1040_4,False,electronics,3480.98,False,normal
txn_0001729,U1064,2026-01-01 12:36:00,6114.46,mobile,B_U1064_17,False,groceries,7922.85,False,normal
txn_0001082,U1040,2026-01-01 12:41:00,3667.36,mobile,B_U1040_2,False,travel,3480.98,False,normal
txn_0001271,U1047,2026-01-01 12:41:00,2673.23,atm,B_U1047_17,False,travel,2870.56,False,normal
txn_0002421,U1090,2026-01-01 12:55:00,2214.79,atm,B_U1090_68675,True,fuel,3957.38,False,normal
txn_0001567,U1058,2026-01-01 13:00:00,2342.87,mobile,B_U1058_9,False,fuel,4002.51,False,normal
txn_0002785,U1104,2026-01-01 13:02:00,3758.66,mobile,B_U1104_2,False,investment,1958.45,False,normal
txn_0000136,U1005,2026-01-01 13:08:00,1759.89,web,B_U1005_8,False,peer_transfer,2618.11,False,normal
txn_0002265,U1084,2026-01-01 13:15:00,1909.96,web,B_U1084_2,False,electronics,1662.97,False,normal
txn_0000082,U1003,2026-01-01 13:42:00,2606.78,atm,B_U1003_16,False,dining,2001.51,False,normal
txn_0000622,U1023,2026-01-01 13:44:00,2177.28,mobile,B_U1023_4,False,peer_transfer,3158.77,False,normal
txn_0002604,U1097,2026-01-01 13:58:00,1854.79,web,B_U1097_5,False,travel,1723.17,False,normal
txn_0002605,U1097,2026-01-01 14:03:00,1762.31,mobile,B_U1097_1,False,utilities,1723.17,False,normal
txn_0001891,U1070,2026-01-01 14:20:00,2536.87,atm,B_U1070_2,False,peer_transfer,4224.9,False,normal
txn_0000596,U1022,2026-01-01 14:23:00,4089.92,web,B_U1022_1,False,utilities,4140.87,False,normal
txn_0001272,U1047,2026-01-01 14:24:00,1560.43,mobile,B_U1047_6,False,utilities,2870.56,False,normal
txn_0002239,U1083,2026-01-01 14:33:00,2227.56,mobile,B_U1083_16,False,peer_transfer,3626.19,False,normal
txn_0000272,U1010,2026-01-01 15:02:00,4660.76,web,B_U1010_15,False,travel,4545.51,False,normal
txn_0001162,U1043,2026-01-01 15:05:00,5662.04,web,B_U1043_4,False,dining,6061.22,False,normal
txn_0001675,U1062,2026-01-01 15:14:00,5799.59,web,B_U1062_10,False,dining,5313.72,False,normal
txn_0002733,U1102,2026-01-01 15:15:00,3647.38,mobile,B_U1102_26969,True,utilities,4673.84,False,normal
txn_0000055,U1002,2026-01-01 15:16:00,2484.22,mobile,B_U1002_6,False,dining,4906.58,False,normal
txn_0002473,U1092,2026-01-01 15:20:00,1202.53,atm,B_U1092_1,False,investment,2917.77,False,normal
txn_0002553,U1095,2026-01-01 15:20:00,2868.76,web,B_U1095_16,False,peer_transfer,4619.02,False,normal
txn_0000273,U1010,2026-01-01 15:30:00,6981.06,web,B_U1010_9,False,travel,4545.51,False,normal
txn_0001459,U1054,2026-01-01 15:30:00,2585.26,atm,B_U1054_16,False,groceries,2347.07,False,normal
txn_0001351,U1050,2026-01-01 15:37:00,2113.04,mobile,B_U1050_6,False,peer_transfer,3695.41,False,normal
txn_0002681,U1100,2026-01-01 15:44:00,3154.57,mobile,B_U1100_16,False,utilities,3364.39,False,normal
txn_0001190,U1044,2026-01-01 16:01:00,13655.56,mobile,B_U1044_16,False,groceries,6443.21,False,normal
txn_0001191,U1044,2026-01-01 16:18:00,4018.18,web,B_U1044_4,False,dining,6443.21,False,normal
txn_0002606,U1097,2026-01-01 16:44:00,955.3,mobile,B_U1097_6,False,utilities,1723.17,False,normal
txn_0000568,U1021,2026-01-01 16:50:00,1092.66,mobile,B_U1021_9,False,dining,2094.79,False,normal
txn_0000083,U1003,2026-01-01 16:54:00,1312.39,mobile,B_U1003_8,False,fuel,2001.51,False,normal
txn_0002499,U1093,2026-01-01 16:54:00,8523.88,mobile,B_U1093_17,False,investment,3053.67,False,normal
txn_0001216,U1045,2026-01-01 16:59:00,2978.51,mobile,B_U1045_6,False,fuel,3817.05,False,normal
txn_0001273,U1047,2026-01-01 17:01:00,3546.93,web,B_U1047_8,False,peer_transfer,2870.56,False,normal
txn_0002941,U1110,2026-01-01 17:29:00,1444.02,mobile,B_U1110_13,False,utilities,2501.88,False,normal
txn_0001192,U1044,2026-01-01 17:33:00,5008.23,mobile,B_U1044_11,False,travel,6443.21,False,normal
txn_0001648,U1061,2026-01-01 17:59:00,9723.22,web,B_U1061_4,False,travel,13171.59,False,normal
txn_0001217,U1045,2026-01-01 18:00:00,1400.52,atm,B_U1045_10,False,travel,3817.05,False,normal
